Speed,q
675,13.69
676,13.46
675,13.63
675,13.10
675,13.22
675,13.10
675,13.80
675,13.20
675,13.02
675,13.07
675,13.47
674,13.11
675,13.48
675,13.39
675,13.81
675,13.45
675,13.62
675,12.99
675,13.53
675,13.20
675,13.13
675,13.42
675,14.03
675,13.05
675,13.35
675,13.71
675,13.95
674,13.54
674,13.60
675,13.52
675,13.70
674,13.54
675,13.58
675,13.47
675,13.68
675,13.52
675,13.52
675,13.52
675,13.68
675,13.52
675,13.44
675,13.31
674,13.58
673,13.58
673,13.58
673,13.59
674,13.75
673,13.50
673,13.58
674,13.58
674,13.70
674,13.54
674,13.56
674,13.54
674,13.69
674,13.48
674,13.56
674,13.54
674,13.70
674,13.80
675,13.68
676,12.91
675,13.34
674,13.50
675,13.63
676,13.30
674,13.99
675,13.63
675,13.24
675,13.37
676,13.56
675,12.88
675,13.54
675,13.70
675,13.56
673,13.51
672,13.70
672,13.78
672,13.88
673,13.72
673,13.74
674,13.59
674,13.76
673,13.60
674,13.56
674,13.53
674,13.70
673,13.55
673,13.74
673,13.72
672,13.86
672,13.82
673,13.78
672,13.94
674,15.08
676,13.82
675,13.33
674,14.44
675,14.25
675,13.46
675,14.07
675,14.42
675,13.71
674,14.06
675,14.62
676,13.92
675,13.41
675,14.21
675,13.92
675,14.06
675,14.17
675,13.76
675,13.68
675,14.39
676,14.15
675,13.35
674,14.14
675,14.62
675,13.48
674,13.63
675,14.58
676,14.04
675,13.49
674,13.80
676,14.35
676,13.53
675,13.39
674,14.31
677,13.85
675,13.09
674,13.95
675,14.34
675,13.28
674,13.89
675,14.29
675,13.37
675,13.56
675,14.06
675,14.01
675,13.61
675,14.01
675,13.61
675,13.82
675,13.90
676,13.75
675,13.57
675,13.99
675,13.65
675,13.32
675,14.02
675,13.96
675,13.89
676,13.49
675,13.74
675,13.17
674,13.90
676,13.76
675,13.71
675,13.39
675,14.21
675,13.27
675,14.14
676,13.48
675,13.43
676,13.72
675,13.58
675,13.09
674,14.03
676,13.10
675,13.75
675,13.37
674,13.55
675,13.82
675,13.80
675,13.38
674,13.80
675,13.38
675,13.80
675,13.37
674,13.62
675,14.20
675,14.03
667,5.85
643,6.17
629,10.90
624,10.90
612,8.66
602,9.87
595,12.45
589,11.09
584,10.37
576,11.33
571,12.15
571,10.64
564,9.55
558,12.16
557,13.25
556,10.22
551,9.78
546,13.08
