Speed,q
1201,0.00
1197,0.00
1199,0.00
1199,0.00
1198,0.00
1196,0.00
1199,0.00
1197,0.00
1196,0.00
1197,0.00
1199,0.00
1197,0.00
1195,0.00
1197,0.00
1200,0.00
1198,0.00
1197,0.00
1196,0.00
1198,0.00
1197,0.00
1196,0.00
1198,0.00
1196,0.00
1197,0.00
1197,0.00
1197,0.00
1196,0.00
1193,0.00
1197,0.00
1198,0.00
1195,0.00
1196,0.00
1197,0.00
1195,0.00
1194,0.00
1195,0.00
1197,0.00
1196,0.00
1195,0.00
1195,0.00
1197,0.00
1196,0.00
1193,0.00
1195,0.00
1195,0.00
1194,0.00
1194,0.00
1195,0.00
1195,0.00
1194,0.00
1192,0.00
1193,0.02
1196,1.12
1196,6.94
1198,14.36
1209,19.54
1203,26.53
1189,31.40
1200,35.65
1193,39.20
1202,41.74
1194,43.46
1201,45.79
1197,47.18
1202,47.88
1203,48.84
1198,49.44
1203,49.82
1202,50.28
1202,50.36
1204,50.46
1205,50.56
1204,50.48
1206,50.44
1209,50.36
1209,50.28
1208,50.04
1206,49.94
1207,49.92
1212,49.78
1213,49.56
1210,49.32
1211,49.28
1213,49.34
1214,49.20
1214,48.94
1214,48.56
1214,48.10
1215,47.78
1215,46.97
1217,46.14
1218,45.43
1217,44.66
1216,44.30
1220,43.80
1221,43.46
1219,43.16
1219,43.12
1219,43.20
1223,43.50
1221,43.80
1218,44.18
1223,44.30
1224,44.53
1223,44.94
1222,45.26
1225,46.13
1227,46.80
1222,47.82
1224,48.38
1227,49.02
1226,49.46
1225,49.80
1225,50.18
1228,50.28
1232,50.80
1227,51.18
1226,51.58
1230,51.72
1230,52.02
1230,52.02
1228,52.10
1228,52.20
1234,52.26
1232,52.24
1228,52.20
1232,52.26
1234,52.22
1234,52.12
1234,52.06
1232,52.00
1234,51.88
1237,51.96
1233,52.02
1233,51.98
1236,51.92
1235,51.92
1235,51.84
1234,51.88
1235,51.86
1239,51.70
1236,51.68
1234,51.56
1237,51.56
1239,51.46
1238,51.36
1234,51.24
1236,51.14
1241,50.82
1238,50.68
1236,49.93
1236,49.14
1239,47.93
1239,47.38
1235,46.80
1237,46.36
1238,45.82
1237,45.52
1237,45.12
1236,44.94
1238,44.32
1237,43.80
1237,42.71
1238,41.94
1234,40.90
1237,39.88
1237,38.51
1234,37.76
1235,37.09
1235,36.80
1237,36.42
1234,36.28
1232,36.26
1236,36.52
1236,37.25
1234,38.44
1233,39.72
1234,40.80
1235,41.98
1231,42.80
1230,43.41
1234,43.98
1236,44.28
1232,44.66
1232,44.88
1234,45.16
1234,45.24
1230,45.30
1226,45.36
1230,45.52
1233,45.50
1233,45.32
1227,45.38
1226,45.40
1234,45.24
1234,45.10
1231,45.06
1229,45.16
1228,45.32
1230,45.42
1228,45.48
1226,45.54
1230,45.60
1229,45.60
1225,45.60
1228,45.62
1228,45.58
1227,45.32
1225,44.95
1223,44.56
1228,44.12
1227,43.78
1222,43.66
1223,43.64
1225,43.56
1223,43.54
1223,43.54
1223,43.58
1222,43.58
1222,43.60
1222,43.66
1220,43.66
1219,43.62
1220,43.62
1220,43.66
1219,43.68
1218,43.68
1220,43.72
1219,43.80
1216,43.86
1217,43.86
1217,43.94
1217,43.96
1216,44.22
1216,44.73
