Speed,q,p
1170,105.38,1231073.854
1169,105.42,1229872.555
1170,105.4,1231090.029
1172,105.42,1232491.41
1171,105.42,1231963.054
1173,105.4,1233034.925
1175,105.38,1233582.272
1174,105.38,1232981.95
1175,105.36,1233254.334
1178,105.36,1234980.995
1177,105.34,1235129.034
1176,105.38,1234545.236
1181,105.32,1236708.828
1182,105.3,1237745.218
1180,105.3,1237129.141
1180,105.28,1235236.649
1184,105.04,1234600
1184,104.84,1234600
1183,104.74,1234091.987
1182,104.74,1233708.576
1187,104.66,1237434.347
1190,104.54,1240076.725
1187,104.54,1235854.865
1188,104.54,1236545.021
1192,104.54,1238417.882
1192,104.5,1238509.746
1191,104.46,1237709.219
1190,104.46,1237490.654
1193,104.44,1238798.692
1196,104.36,1240200
1196,104.38,1240418.079
1196,104.36,1233752.765
1197,102.78,1175213.448
1198,97.08,1046967.261
1196,66.35,916971.4915
1197,47.02,787291.0402
1195,35.86,704345.7915
1195,22.41,704143.9532
1197,15.44,705364.2209
1189,9.6,701910.5763
1178,2.05,696981.84
1187,0,701325.8288
1197,0,705678.5093
1192,0,701709.8639
1196,0,704109.0642
1190,0,701360.991
1195,0,703999.573
1193,0,702600
1193,0,703616.8266
1193,0,703508.1419
1188,0,700927.6798
1190,0,701836.7134
1190,0,701853.8183
1190,0,702345.1485
1187,0,700691.3146
1187,0,700526.3135
1190,0,701945.5189
1189,0,701254.8123
1184,0,699381.9675
1184,0,699363.2462
1187,0,699927.2774
1186,0,699727.2809
1185,0,699745.3627
1184,0,699564.4465
1184,0,698800
1184,0,699163.3205
1184,0,699509.6193
1183,0,698781.7379
1182,0,698327.2445
1182,0,698417.8582
1184,0,699163.0149
1183,0,698636.3078
1179,0,696600
1181,0,697762.1103
1184,0,699291.734
1181,0,697673.1744
1179,0,696690.8656
1181,0,697635.9486
1181,0,698327.4292
1179,0,697036.8805
1178,0,696309.1473
1183,0,698454.7854
1181,0,697402.1929
1178,0,696072.5913
1179,0,697871.0528
1181,0.06,701743.5747
1181,0.28,703617.5341
1175,0.66,711615.5617
1181,1.2,729067.209
1183,3.03,741212.5108
1178,6.69,756457.7604
1178,9.7,776572.9832
1181,12.02,794688.2178
1185,15.77,801650.4789
1190,17.59,807994.4218
1186,19.02,812345.0434
1174,20.08,817246.8384
1181,22.65,826560.2584
1184,23.6,829759.1779
1181,24.82,833322.0465
1184,25.54,836362.8318
1179,26.68,837217.6012
1183,27.18,838541.4595
1182,27.7,839837.7593
1183,27.98,840434.0518
1184,28.44,842382.5405
1184,28.76,842941.9851
1186,28.96,845833.8926
1184,29.22,846040.9451
1184,29.46,847022.3865
1187,29.84,854800
1189,30.16,856033.4855
1187,30.6,857546.7856
1186,31.14,857125.3339
1191,31.32,858907.0479
1190,31.44,858349.06
1187,31.7,856307.8583
1189,31.86,859373.2738
1193,31.96,862691.9671
1192,32.14,863833.1798
1190,32.52,867980.1373
1191,32.84,870593.4631
1194,33.04,874997.5815
1195,33.46,875696.9297
1191,33.7,873159.5187
1195,33.88,878176.2406
1198,34.26,881805.0115
1195,34.58,880593.9329
1196,34.82,885215.1708
1198,35.32,890357.0648
1200,35.72,895756.102
1196,36.22,898619.2338
1196,36.95,899341.5234
1200,37.3,902037.2784
1199,37.54,900311.0038
1198,37.7,899270.5066
1199,37.84,901959.8103
1201,38,904217.3984
1202,38.12,904382.3958
1200,38.24,903202.2504
1202,38.28,904558.0106
1206,38.32,908747.1171
1202,38.42,906656.9527
1202,38.46,907829.3711
1207,38.74,913597.3755
1208,38.78,911233.1566
1205,38.74,897489.964
1202,36.48,838552.3696
1205,28.56,740282.938
1208,21.68,710329.1919
1202,12.74,707567.1927
1190,8.2,702501.8053
1197,5.46,705604.0675
1217,1.71,715356.4391
1199,0,706982.3897
1203,0,708416.2514
1208,0,710366.0785
1205,0,708490.0218
1205,0,709726.3872
1205,0,709475.0097
1204,0,708688.4646
1208,0,710547.4827
1204,0,708653.6453
1205,0,709727.3812
1205,0,709454.8441
1204,0,709200
1205,0,709272.6558
1205,0,709254.8378
1204,0,709072.5381
1205,0,709054.7348
1205,0,708872.5932
1204,0,708782.4322
1202,0,708254.7156
1204,0,708362.9578
1205,0,708854.8924
1203,0,708164.1413
1202,0,707472.6126
1203,0,708180.068
1206,0,709272.612
1205,0,708818.6843
1202,0,707582.073
1202,0,707417.6022
1202,0,707582.4583
1202,0,707563.1771
1202,0,707837.2176
1202,0,707054.934
1201,0,707017.9441
1202,0,707835.296
1203,0,708672.5388
1202,0,707711.084
1200,0,706670.4532
1202,0,708054.9043
1202,0,707218.8937
1199,0,705982.4204
1201,0,706325.1864
1202,0,707963.0468
1202,0,707729.4453
1199,0,705909.9618
1198,0,705908.2454
1201,0,707598.1641
1202,0,708129.633
1199,0,706019.4313
1197,0,705507.5779
1199,0,706617.5236
1201,0,706782.2457
1200,0,706400
1199,0,706037.3271
1199,0,705980.6579
1202,0,707290.1707
1202,0,706857.4733
1198,0,705780.4986
1199,0,706509.8852
1199,0,706072.5151
1198,0,705764.6256
1196,0,705507.6264
1199,0,706254.9669
1198,0,705419.4055
1196,0,704400
1197,0,705271.3843
1199,0,706437.2348
1197,0,705219.2603
1195,0,704272.5996
1197,0,705343.3871
1200,0,706637.0093
1199,0,705854.8984
1197,0,705382.6952
1196,0,705290.3602
1198,0,705582.3416
1196,0,704837.6755
1196,0,704925.7324
1198,0,705692.4008
1196,0,704872.4509
1196,0,705145.1832
1196,0,705545.1029
1196,0,705727.5399
1196,0,704511.446
1193,0,703397.4846
1197,0,705524.0571
1199,0,705856.7382
1195,0,704127.5003
1196,0,704507.0379
1197,0,705472.5431
1196,0,705019.6999
1194,0,703855.0034
1195,0,704397.7231
1197,0,705582.463
1196,0,704765.3781
1195,0,703855.1376
1196,0,704252.7433
1198,0,705472.4136
1196,0,704803.5819
1193,0,703617.5228
1195,0,704289.6655
1195,0,704510.48
1194,0,703637.5013
1193,0,703361.9532
1195,0,704289.415
1196,0,704510.1318
1193,0,703782.7423
1193,0,703182.9293
1193,0.02,715603.44
1196,1.12,752093.3437
1196,6.94,801105.2617
1198,14.36,862037.4203
1209,19.54,901809.007
1203,26.53,918445.2488
1189,31.4,931908.0258
1200,35.65,944257.2323
1193,39.2,941319.7036
1202,41.74,954983.4266
1193,43.46,953616.3982
1201,45.79,960650.3148
1197,47.18,961149.8886
1202,47.88,963831.1798
1203,48.84,967493.9587
1199,49.44,964094.8916
1203,49.82,968740.1517
1202,50.28,968088.8001
1202,50.36,965371.6728
1205,50.46,968595.1557
1205,50.56,967904.9769
1204,50.48,964921.9127
1206,50.44,967501.0497
1209,50.36,969727.7239
1210,50.28,967936.6953
1208,50.04,964278.2793
1206,49.94,963288.5592
1207,49.92,964884.456
1212,49.78,967088.8436
1214,49.56,965580.216
1211,49.32,962578.2836
1211,49.28,965334.084
1213,49.34,967316.4994
1214,49.2,964606.046
1214,48.94,961252.6878
1214,48.56,957583.2347
1214,48.1,956910.7522
1215,47.78,951415.9688
1215,46.97,942600
1217,46.14,942527.8276
1219,45.43,940666.1391
1217,44.66,936949.9534
1216,44.3,936595.1355
1220,43.8,938288.6756
1220,43.46,937140.9572
1219,43.16,936582.1791
1220,43.12,942314.3827
1220,43.2,945000
1223,43.5,947529.8493
1221,43.8,949616.0624
1218,44.18,946626.5584
1223,44.3,951179.953
1225,44.53,955832.9349
1223,44.94,956960.417
1223,45.26,962438.7716
1225,46.13,972949.5583
1227,46.8,976255.5617
1222,47.82,975495.1787
1224,48.38,978346.3287
1227,49.02,983773.7139
1226,49.46,981672.109
1226,49.8,982737.1014
1226,50.18,984183.8088
1228,50.28,987627.2764
1232,50.8,994400
1227,51.18,991657.5184
1226,51.58,989110.3575
1230,51.72,994787.9562
1230,52.02,995653.3598
1230,52.02,992632.3329
1228,52.1,993111.6733
1229,52.2,995193.4413
1235,52.26,998502.276
1232,52.24,993463.8125
1228,52.2,991482.7288
1232,52.26,997896.3926
1235,52.22,998758.6458
1235,52.12,995551.9523
1234,52.06,993606.444
1232,52,992921.5049
1235,51.88,996653.5543
1237,51.96,1000061.822
1233,52.02,994864.2634
1233,51.98,992280.793
1236,51.92,997211.6154
1235,51.92,995049.706
1235,51.84,996921.8921
1235,51.88,995529.2445
1235,51.86,993830.9031
1238,51.7,997829.178
1236,51.68,993884.2087
1234,51.56,992931.9605
1237,51.56,995567.0517
1239,51.46,994872.1733
1238,51.36,992690.4947
1234,51.24,989177.0663
1236,51.14,990632.868
1241,50.82,991111.527
1238,50.68,984252.405
1236,49.93,971340.7295
1236,49.14,967029.3999
1240,47.93,966186.2871
1239,47.38,966476.1052
1235,46.8,961783.7393
1238,46.36,961039.4606
1238,45.82,959174.231
1238,45.52,957792.3952
1237,45.12,957832.1912
1235,44.94,953384.4682
1238,44.32,947639.8441
1237,43.8,938760.0736
1238,42.71,930375.9659
1238,41.94,929026.6321
1235,40.9,916740.3315
1237,39.88,905060.7384
1237,38.51,906996.9144
1234,37.76,901928.1474
1235,37.09,902878.2897
1235,36.8,904081.881
1237,36.42,904093.7969
1235,36.28,905609.4315
1232,36.26,909587.7161
1236,36.52,921210.6032
1236,37.25,931123.951
1234,38.44,944410.5012
1233,39.72,950011.9907
1235,40.8,955324.1234
1235,41.98,957825.4168
1231,42.8,956081.9729
1230,43.41,955877.9663
1235,43.98,959235.751
1236,44.28,961153.3419
1232,44.66,960000
1232,44.88,960718.9129
1234,45.16,961784.222
1235,45.24,960824.4689
1230,45.3,958074.1688
1226,45.36,956366.241
1229,45.52,958871.9254
1233,45.5,958712.332
1233,45.32,958919.0736
1227,45.38,956968.0852
1226,45.4,954000.2658
1234,45.24,959000
1234,45.1,957922.2783
1231,45.06,956430.5054
1229,45.16,957343.6835
