,Epm_nEng,InjCtl_qSetUnBal
2017-12-01 10:06:30.122091,896.0,33.86
2017-12-01 10:06:30.222091,919.5086642043287,34.1598585436028
2017-12-01 10:06:30.322091,943.9978489504356,33.75990750486873
2017-12-01 10:06:30.422091,923.9846524085075,32.899795365446764
2017-12-01 10:06:30.522091,903.0047259232155,32.61996849384523
2017-12-01 10:06:30.622091,924.0074754601425,32.47928235582632
2017-12-01 10:06:30.722091,938.9965902200914,31.040327338871222
2017-12-01 10:06:30.822091,930.4959430825336,29.5981743871401
2017-12-01 10:06:30.922091,924.5013756450408,26.896753477703832
2017-12-01 10:06:31.022091,926.9989964007572,20.993637180800086
2017-12-01 10:06:31.122091,925.9911001536008,14.654660092160444
2017-12-01 10:06:31.222091,915.4809116460432,8.356889995013868
2017-12-01 10:06:31.322091,894.9864044299159,5.022371671670234
2017-12-01 10:06:31.422091,877.0676276868095,8.154967241911852
2017-12-01 10:06:31.522091,941.5038672315875,3.359001551117407
2017-12-01 10:06:31.622091,946.95563857467,1.9393345786200513
2017-12-01 10:06:31.722091,914.9765043472912,1.459816120978801
2017-12-01 10:06:31.822091,892.0245221926277,1.2805036990918122
2017-12-01 10:06:31.922091,910.5110750064118,1.6587202214813024
2017-12-01 10:06:32.022091,919.4806319429712,0.6197417592396155
2017-12-01 10:06:32.122091,907.4947614662032,0.4598428439860954
2017-12-01 10:06:32.222091,903.4899195894935,0.33981671980897227
2017-12-01 10:06:32.322091,897.9839560807466,0.2421086293875913
2017-12-01 10:06:32.422091,887.5188845369786,1.62170781899632
2017-12-01 10:06:32.522091,899.0039179281287,2.656113415296349
2017-12-01 10:06:32.622091,901.4497608136345,0.18960126672763195
2017-12-01 10:06:32.722091,874.5121947266709,5.353950767311614
2017-12-01 10:06:32.822091,882.0358685011627,13.901238014776462
2017-12-01 10:06:32.922091,901.4636223647813,3.7262064700087536
2017-12-01 10:06:33.022091,877.004148058667,7.916293574444417
2017-12-01 10:06:33.122091,879.534980389997,17.70988259489316
2017-12-01 10:06:33.222091,898.9828557808947,12.076329120144514
2017-12-01 10:06:33.322091,890.4930542031851,10.266050560780952
2017-12-01 10:06:33.422091,886.0146018070308,14.185885651449311
2017-12-01 10:06:33.522091,892.4866631503452,16.79593739041284
2017-12-01 10:06:33.622091,885.9510839259154,14.844116762106797
2017-12-01 10:06:33.722091,864.5663709295203,25.425904040894643
2017-12-01 10:06:33.822091,897.9260701848547,28.381529665855485
2017-12-01 10:06:33.922091,867.493824461875,20.810918860879262
2017-12-01 10:06:34.022091,864.563208662238,35.79720551177474
2017-12-01 10:06:34.122091,902.4694269119651,34.110883661022335
2017-12-01 10:06:34.222091,880.4730482462116,27.58099893164732
2017-12-01 10:06:34.322091,869.0819750424134,36.515592161653835
2017-12-01 10:06:34.422091,899.4900943137344,34.8730377176533
2017-12-01 10:06:34.522091,895.9841936034143,32.42546449710536
2017-12-01 10:06:34.622091,889.0180198551444,34.839879867632376
2017-12-01 10:06:34.722091,894.9820811551743,34.80127991748755
2017-12-01 10:06:34.822091,888.132228298491,35.295329809032026
2017-12-01 10:06:34.922091,935.1186601800936,33.55882564952686
2017-12-01 10:06:35.022091,978.9180845188964,3.532267178583819
2017-12-01 10:06:35.122091,941.3894475580083,0.011615376571926196
2017-12-01 10:06:35.222091,903.9709239504188,3.980964923187818
2017-12-01 10:06:35.322091,895.0552265263728,16.6122682863078
2017-12-01 10:06:35.422091,913.9877968796843,13.939071648658627
2017-12-01 10:06:35.522091,909.9540176029757,7.111281014736642
2017-12-01 10:06:35.622091,895.0125939279851,10.79328659402428
2017-12-01 10:06:35.722091,899.0206706970637,14.989581968679882
2017-12-01 10:06:35.822091,906.4725793157952,11.218560414079251
2017-12-01 10:06:35.922091,898.5,10.808067468977676
2017-12-01 10:06:36.022091,898.5074962789479,13.39700148842085
2017-12-01 10:06:36.122091,900.9983634866012,12.397054275882146
2017-12-01 10:06:36.222091,900.4929289683024,11.504879011871374
2017-12-01 10:06:36.322091,898.5064456824053,12.878775320342985
2017-12-01 10:06:36.422091,900.4962455354778,12.49977473212867
2017-12-01 10:06:36.522091,899.5017301910236,12.439238715949607
2017-12-01 10:06:36.622091,899.9964458905414,12.222061383485993
2017-12-01 10:06:36.722091,899.0034399679339,12.800619194228092
2017-12-01 10:06:36.822091,900.0018614688106,12.978361907446622
2017-12-01 10:06:36.922091,900.4928222884837,12.540071777115163
2017-12-01 10:06:37.022091,898.5096292924823,12.563466545293625
2017-12-01 10:06:37.122091,901.0036869784385,13.452847261829337
2017-12-01 10:06:37.222091,901.9869389489488,11.522388306477929
2017-12-01 10:06:37.322091,898.5038567673085,12.163702496616164
2017-12-01 10:06:37.422091,899.5082579325921,13.117605199548285
2017-12-01 10:06:37.522091,901.4903858422896,12.537077296056028
2017-12-01 10:06:37.622091,898.9979394851601,11.785522179770961
2017-12-01 10:06:37.722091,898.512030657797,13.116872028972764
2017-12-01 10:06:37.822091,901.4897780084179,12.340735983393909
2017-12-01 10:06:37.922091,899.0042070060605,12.521346241939336
2017-12-01 10:06:38.022091,900.0021371747298,12.837862825270186
2017-12-01 10:06:38.122091,900.5,12.338853477527135
2017-12-01 10:06:38.222091,900.493428545528,12.06376763389728
2017-12-01 10:06:38.322091,899.0062422745704,12.918918005741142
2017-12-01 10:06:38.422091,900.4955610738217,12.658313208052242
2017-12-01 10:06:38.522091,899.502239092623,12.282239092622973
2017-12-01 10:06:38.622091,899.9976479991166,12.781223040459404
2017-12-01 10:06:38.722091,899.50656371885,13.038599739978684
