,Epm_nEng,InjCtl_qSetUnBal,Rail_pSetPoint
2017-12-01 10:24:28.822091,1425.320754137479,35.86091295661263,831036.5182645053
2017-12-01 10:24:28.922091,1423.203508262138,35.80959572401859,829876.5519930783
2017-12-01 10:24:29.022091,1422.8027477823953,35.76084396451832,829032.0706516963
2017-12-01 10:24:29.122091,1421.4552668255023,35.62035786539598,827776.7387492612
2017-12-01 10:24:29.222091,1420.8012147903337,35.47097976120638,827624.9393761625
2017-12-01 10:24:29.322091,1418.4707972129602,35.409582817328,827179.9752317441
2017-12-01 10:24:29.422091,1419.51977054395,35.3905535752306,827516.607256918
2017-12-01 10:24:29.522091,1419.7265229518807,35.33982925783186,827581.2183615046
2017-12-01 10:24:29.622091,1418.0384582326913,35.28068370191451,827321.3656848285
2017-12-01 10:24:29.722091,1414.4926705330322,35.30919375863355,827182.4092792774
2017-12-01 10:24:29.822091,1415.7479917657956,35.360481976209066,828012.8526989084
2017-12-01 10:24:29.922091,1414.5122210971954,35.35951115611219,827491.0378620567
2017-12-01 10:24:30.022091,1413.0,35.34057869392198,825323.8711242817
2017-12-01 10:24:30.122091,1411.014186895231,35.250070934476156,823092.1972076229
2017-12-01 10:24:30.222091,1412.4719044695842,35.09120409416067,823406.4218355236
2017-12-01 10:24:30.322091,1411.5355717262091,34.94,822897.6285515861
2017-12-01 10:24:30.422091,1410.9728481633665,34.8804072775495,822802.7151836633
2017-12-01 10:24:30.522091,1409.7909535976803,34.80015601370545,822300.7800685272
2017-12-01 10:24:30.622091,1409.710832433211,34.720447629334735,822497.7618533263
2017-12-01 10:24:30.722091,1409.0403582140493,34.69973094523967,822402.6905476033
2017-12-01 10:24:30.822091,1408.7067535826134,34.720150422321346,822992.4788839327
2017-12-01 10:24:30.922091,1407.7955541673648,34.71986502468929,822708.7733951962
2017-12-01 10:24:31.022091,1407.2130377689919,34.73005913956961,822692.3118559503
2017-12-01 10:24:31.122091,1405.052135182467,34.72,822111.6537466691
2017-12-01 10:24:31.222091,1405.1876152998352,34.76964351599906,822285.0276719604
2017-12-01 10:24:31.322091,1405.8083542548252,34.81007073243009,822314.8538103191
