Speed,q,p
841,31.42,653660
814,31.53,624176
830,32.08,646769
858,31.99,675495
843,31.38,655805
819,31.49,630041
830,32.08,646925
844,32.12,660727
832,32.07,648148
831,32.55,650052
847,33.11,670209
842,33.81,668897
822,34.54,651397
829,35.69,665870
856,36.20,697934
844,36.14,685257
822,36.37,661309
832,37.07,677358
856,37.48,705942
843,37.51,691699
825,37.95,674949
846,38.60,701170
857,38.72,713863
829,38.69,683622
826,39.19,682584
855,39.68,717665
856,39.42,717631
831,39.19,687845
834,39.52,693070
855,39.79,718673
851,39.48,712388
836,39.34,694633
843,39.54,702995
857,39.68,719665
853,39.76,715805
840,39.91,702820
844,40.32,708687
854,41.17,725748
858,42.81,739537
854,44.26,743373
847,45.18,741195
849,46.23,749292
858,46.93,764742
864,47.20,773211
859,47.32,768163
854,47.44,762057
858,47.68,768873
867,47.74,780126
869,47.58,781229
865,47.44,775170
864,47.46,774100
869,47.34,780001
875,47.19,785278
878,46.89,787708
876,46.62,782969
875,46.54,781319
881,46.42,787627
887,46.31,794677
886,45.94,790576
884,45.72,787225
890,45.64,793556
890,45.44,792369
892,45.32,794262
896,45.12,797651
894,45.02,794467
894,44.90,793952
904,44.69,801232
900,42.14,783369
886,32.19,705689
915,22.72,659312
939,14.24,601861
939,9.43,589740
927,5.87,572304
907,3.56,548753
880,2.59,524913
849,0.00,488483
818,0.00,466355
786,0.00,443737
754,0.00,420264
717,0.00,407552
683,0.06,397568
652,3.20,399098
641,14.43,427417
659,22.15,463356
675,13.94,439552
672,8.37,423398
666,13.59,434998
672,14.79,440654
675,12.39,435243
673,11.83,433309
672,12.98,435771
675,13.12,437321
675,12.35,435311
674,12.04,434186
674,12.92,436196
675,12.87,436675
675,12.63,436039
675,12.21,434933
674,12.66,435535
676,12.84,436864
675,12.62,436009
675,12.63,435880
674,13.03,436784
676,12.51,436010
674,12.90,436443
675,12.84,436720
674,12.78,436136
676,12.76,436657
674,12.69,435895
674,13.29,437309
674,12.96,436438
674,12.90,436286
674,12.98,436347
674,13.00,436534
673,12.98,436049
674,12.98,436491
673,13.06,436397
673,13.00,436243
672,13.12,436262
673,13.06,436551
673,13.12,436554
673,13.00,436391
673,13.00,436249
674,13.04,436502
674,13.10,436653
674,13.00,436545
674,12.98,436491
674,12.88,436388
674,13.00,436549
674,13.00,436684
673,13.00,436098
673,13.00,436397
673,13.10,436500
673,13.08,436301
672,13.24,436272
672,13.22,436381
673,13.33,436967
673,13.06,436249
672,13.12,436259
673,13.06,436403
672,13.22,436505
672,13.12,435963
672,13.22,436368
673,13.12,436412
673,13.22,436651
672,13.06,435954
672,13.12,436259
673,13.12,436413
673,13.22,436655
672,13.06,436102
672,13.12,436262
672,13.22,436520
673,13.14,436601
672,13.12,436255
672,13.12,436259
673,13.12,436406
673,13.12,436399
672,13.12,436108
672,13.12,436255
672,13.17,436386
673,14.95,441379
676,12.98,437382
676,12.07,434874
674,13.39,437582
675,13.79,439197
675,12.61,435989
